State-Ips,# of Farmer Groups,
Kaduna-WOFAN," 13,050 ",
Gombe-WOFAN," 6,750 ",
Jigawa-WOFAN," 6,750 ",
Kano-WOFAN," 24,450 ",
Bauchi-WOFAN," 13,050 ",
