State-IP,PRODUCTION GROUPS,PROCESSING GROUPS,TOTAL GROUPS
Adamawa-Farm Innovation,200,400,600
Nasarawa-PVNL,200,400,600
Benue-PVNL,200,400,600
Kaduna 1-PVNL,467,933,1400
Kaduna 2-PVNL,,,
Kaduna-WOFAN,133,267,400
Gombe-WOFAN,200,400,600
Jigawa-WOFAN,400,800,1200
Kano-WOFAN,800,1600,2400
FCT-WOFAN,200,400,600
Bauchi-WOFAN,200,400,600
