State-IP,# of Farmer Groups
Adamawa-Farm Innovation, 200.00 
Bauchi-WOFAN, 200.00 
Benue-PVNL, 200.00 
FCT-WOFAN, 200.00 
Gombe-WOFAN, 200.00 
Jigawa-WOFAN, 400.00 
Kaduna 1-PVNL, 500.00 
Kaduna 2-PVNL, 500.00 
Kaduna-WOFAN, 100.00 
Kano-WOFAN, 800.00 
Nasarawa-PVNL, 200.00 
