State-IP,TargetCommPartnerPerState,
Adamawa-Farm Innovation," 15,000 ",
Bauchi-WOFAN," 15,000 ",
Benue-PVNL," 15,000 ",
FCT-WOFAN," 15,000 ",
Gombe-WOFAN," 15,000 ",
Jigawa-WOFAN," 30,000 ",
Kaduna 1-PVNL," 20,000 ",
Kaduna 2-PVNL," 15,000 ",
Kaduna-WOFAN," 10,000 ",
Kano-WOFAN," 60,000 ",
Nasarawa-PVNL," 15,000 ",
