State-IP,TargetofFarmerCoop,TargetCommPartnerPerState
Adamawa-Farm Innovation,"73,500","2,450"
Bauchi-WOFAN,"105,750","3,525"
Benue-PVNL,"73,500","2,450"
FCT-WOFAN,"74,910","2,497"
Gombe-WOFAN,"102,780","3,426"
Jigawa-WOFAN,"268,800","8,960"
Kaduna 1-PVNL,"88,500","2,950"
Kaduna 2-PVNL,"73,500","2,450"
Kaduna-WOFAN,"92,670","3,089"
Kano-WOFAN,"461,340","15,378"
Nasarawa-PVNL,"73,500","2,450"
,,
