formid,Training_Date,Training_Title,EW_ID,Gender,Gender_and_Age,Disability_Status_class,State,LGA
04c384f3-1561-4764-9ebb-dfd6298cd41f,2023-11-23,Comm._Partner_Registration,Gwa23,Male,Male Youth,No disability,FCT,Gwagwalada_Area_Council
47fc4661-0328-471c-839b-2f41a1eb03c9,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Gwa23,Male,Male Youth,No disability,FCT,Gwagwalada_Area_Council
75b0728a-bbe5-4734-a65a-2bdd523c9bdb,2023-12-19,GAP_&_crop_management,Gwa23,Male,Male Youth,No disability,FCT,Gwagwalada_Area_Council
264d9c64-e34f-4304-bffb-a8a1330b62c5,2023-11-23,Comm._Partner_Registration,Gwa24,Male,Male Youth,No disability,FCT,Gwagwalada_Area_Council
134df4b8-325c-4ad1-8c0a-5e684eccf578,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Gwa24,Male,Male Youth,No disability,FCT,Gwagwalada_Area_Council
4b1b5ffd-0ece-4db9-8f67-03dbbe393acd,2023-12-19,GAP_&_crop_management,Gwa24,Male,Male Youth,No disability,FCT,Gwagwalada_Area_Council
acc102fb-8dd9-4f1f-baf7-8f808b280480,2023-11-23,Comm._Partner_Registration,Gwa25,Female,Female Youth,No disability,FCT,Gwagwalada_Area_Council
0208ba58-c4ff-46e9-867e-afefde558c18,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Gwa25,Female,Female Youth,No disability,FCT,Gwagwalada_Area_Council
a8157703-afe0-4b41-94a0-ebc15e4a42d0,2023-12-19,GAP_&_crop_management,Gwa25,Female,Female Youth,No disability,FCT,Gwagwalada_Area_Council
6cdd8925-c808-457e-ac18-e9d9d70e5663,2023-11-23,Comm._Partner_Registration,Gwa26,Female,Female Youth,No disability,FCT,Gwagwalada_Area_Council
622a5e1f-7a6a-4e5f-9710-d10847070aa4,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Gwa26,Female,Female Youth,No disability,FCT,Gwagwalada_Area_Council
06fa55a6-2dc7-4998-a7a2-b3cffc6d7ddf,2023-12-19,GAP_&_crop_management,Gwa26,Female,Female Youth,No disability,FCT,Gwagwalada_Area_Council
e8637d61-7d9f-404c-918f-3247d567a289,2023-11-23,Comm._Partner_Registration,Gwa27,Female,Female Youth,No disability,FCT,Gwagwalada_Area_Council
cf536319-a893-4743-91c7-b2d33f1e9e73,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Gwa27,Female,Female Youth,No disability,FCT,Gwagwalada_Area_Council
daa9d165-3f44-4032-b9df-d3a7d1328d1b,2023-12-19,GAP_&_crop_management,Gwa27,Female,Female Youth,No disability,FCT,Gwagwalada_Area_Council
6ae8c430-186a-484f-b3a2-79d25b01816b,2023-11-23,Comm._Partner_Registration,Gwa28,Female,Female Youth,No disability,FCT,Gwagwalada_Area_Council
ae2e0b62-1edd-40c1-ba1f-9fb71f3a9a79,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Gwa28,Female,Female Youth,No disability,FCT,Gwagwalada_Area_Council
ee331c87-5c31-4cd9-89ad-3ab62b8dd905,2023-11-23,Comm._Partner_Registration,Kuj02,Female,Female Youth,No disability,FCT,Kuje_Area_Council
125c6756-2428-4c73-9546-287971193b70,2023-12-17,Comm._Partner_Registration,Bag06,Male,Male Youth,No disability,Kano,Bagwai
2ac51cd9-08dc-4fa7-90c6-5d3036d6ad38,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Kuj02,Female,Female Youth,No disability,FCT,Kuje_Area_Council
38e5fcb4-3ac1-4578-b383-fa8f069663b5,2023-12-19,GAP_&_crop_management,Kuj02,Female,Female Youth,No disability,FCT,Kuje_Area_Council
442d48eb-eb7f-4f00-9783-fdded049ccec,2023-11-23,Comm._Partner_Registration,Kuj03,Female,Female Youth,No disability,FCT,Kuje_Area_Council
0200ab38-e9f1-49de-bcc2-ef247194a366,2023-12-17,Comm._Partner_Registration,Bag07,Male,Male Youth,No disability,Kano,Bagwai
d27453bd-7254-42a4-a272-509d2632b2ee,2023-12-17,Comm._Partner_Registration,Bag08,Male,Male Youth,No disability,Kano,Bagwai
1dc5c2ce-6a7a-4631-ad0c-f0c2e4dddb8a,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Kuj03,Female,Female Youth,No disability,FCT,Kuje_Area_Council
1d05d23a-bde2-428f-8f92-e0505da0e997,2023-12-17,Comm._Partner_Registration,Bag09,Male,Male Youth,No disability,Kano,Bagwai
c80b5be2-d2fa-4bc9-9a26-3a98e8e007ce,2023-12-17,Comm._Partner_Registration,Bag10,Male,Male Youth,No disability,Kano,Bagwai
4783733f-9289-4664-86b8-7ce5d7192571,2023-12-17,Comm._Partner_Registration,Bun01,Female,Female Youth,No disability,Kano,Bagwai
9233f10a-0ed6-4c72-82b3-a09e3462398c,2023-12-17,Comm._Partner_Registration,Bun02,Male,Male Youth,No disability,Kano,Bunkure
0d7d59ae-76b6-41a6-89a9-c8b174b30aa1,2023-12-17,Comm._Partner_Registration,Bun03,Male,Male Youth,No disability,Kano,Bunkure
f754d843-b065-42ca-9fc7-ade867ee6873,2023-12-17,Comm._Partner_Registration,Bun04,Male,Male Youth,No disability,Kano,Bunkure
54a54d08-289f-4e2b-b283-3457b7618e46,2023-12-19,GAP_&_crop_management,Kuj03,Female,Female Youth,No disability,FCT,Kuje_Area_Council
520fddd3-08d0-4ba7-a6ca-ff3312e1220b,2023-11-23,Comm._Partner_Registration,Kuj04,Male,Male Youth,No disability,FCT,Kuje_Area_Council
0e780743-aca2-4fa9-bd00-e328db23822c,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Kuj04,Male,Male Youth,No disability,FCT,Kuje_Area_Council
fd2a36ed-3ea6-40e4-8f81-2ed599b3336e,2023-12-19,GAP_&_crop_management,Kuj04,Male,Male Youth,No disability,FCT,Kuje_Area_Council
4727d88b-e424-41a0-9acd-2d184115b95e,2023-11-23,Comm._Partner_Registration,Kuj05,Female,Female Youth,No disability,FCT,Kuje_Area_Council
792eab6a-85e7-48f9-86b3-89dadf5502c0,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Kuj05,Female,Female Youth,No disability,FCT,Kuje_Area_Council
5bf86a5c-4834-4836-9e58-0c812aecf450,2023-12-19,GAP_&_crop_management,Kuj05,Female,Female Youth,No disability,FCT,Kuje_Area_Council
8c77c358-8420-4d43-8b3c-bd7d70e18928,2023-11-23,Comm._Partner_Registration,Kuj06,Female,Female Youth,No disability,FCT,Kuje_Area_Council
35a03390-a035-4d16-9c69-7d5d609ec212,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Kuj06,Female,Female Youth,No disability,FCT,Kuje_Area_Council
73dc92a0-261c-4081-a160-2c7c9a07898f,2023-12-19,GAP_&_crop_management,Kuj06,Female,Female Youth,No disability,FCT,Kuje_Area_Council
1f6cb21f-0e37-43c8-b573-08da5f7f3174,2023-11-23,Comm._Partner_Registration,Kwl08,Male,Male Youth,No disability,FCT,Kwali_Area_Council
5180a925-24fa-4d24-aa73-41d4e50ebba8,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Kwl08,Male,Male Youth,No disability,FCT,Kwali_Area_Council
4801b626-232b-4d7b-9789-585d4a753224,2023-12-19,GAP_&_crop_management,Kwl08,Male,Male Youth,No disability,FCT,Kwali_Area_Council
754829ee-df04-45fc-8848-d7a8a0471d41,2023-11-23,Comm._Partner_Registration,Kwl09,Female,Female Youth,No disability,FCT,Kwali_Area_Council
65a0760a-aa32-478e-85d4-d114100c0259,2023-12-19,GAP_&_crop_management,Kwl09,Female,Female Youth,No disability,FCT,Kwali_Area_Council
5f56166e-fa75-44bc-97e8-f13223e11156,2023-11-23,Comm._Partner_Registration,Kwl10,Male,Male Youth,No disability,FCT,Kwali_Area_Council
f1348f36-d200-47ca-bffc-33537e9f65f1,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Kwl10,Male,Male Youth,No disability,FCT,Kwali_Area_Council
cd3e51fa-e1ea-49c9-92a9-822fc47bc400,2023-12-19,GAP_&_crop_management,Kwl10,Male,Male Youth,No disability,FCT,Kwali_Area_Council
a8464be5-42af-4124-956d-206df47cfda6,2023-11-23,Comm._Partner_Registration,Kwl11,Female,Female Youth,No disability,FCT,Kwali_Area_Council
9f0710c3-83d4-4622-993e-c339770681da,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Kwl11,Female,Female Youth,No disability,FCT,Kwali_Area_Council
21f5f8aa-aeb1-4064-938b-8370a42daad0,2023-12-19,GAP_&_crop_management,Kwl11,Female,Female Youth,No disability,FCT,Kwali_Area_Council
90c7ba02-2068-46d5-8c03-153632877ca5,2023-11-23,Comm._Partner_Registration,Kwl12,Male,Male Youth,No disability,FCT,Kwali_Area_Council
21d11ff9-131b-4aec-9207-01f3f963168b,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Kwl12,Male,Male Youth,No disability,FCT,Kwali_Area_Council
9c0b2d08-51d4-40d9-85f4-a81ef0b16f22,2023-12-19,GAP_&_crop_management,Kwl12,Male,Male Youth,No disability,FCT,Kwali_Area_Council
e611587b-7c13-4bc9-ade6-3a662d390563,2023-11-23,Comm._Partner_Registration,Kwl13,Female,Female Youth,No disability,FCT,Kwali_Area_Council
3d988b1c-cebf-4f60-9495-1e06dddeeb5a,2023-12-18,"Group_formation,_and_dynamics_for_financial_inclusion",Kwl14,Male,Male Youth,No disability,FCT,Kwali_Area_Council
722a311a-dd3d-4b20-88f8-21a0754e4da3,2023-12-19,GAP_&_crop_management,Kwl14,Male,Male Youth,No disability,FCT,Kwali_Area_Council
3787e882-ca81-4c6c-a9cc-1d699b154036,2023-12-18,Comm._Partner_Registration,Jah84,Male,Male Youth,No disability,Jigawa,Jahun
fa85a84f-d273-4e36-969f-fcc1fd4ca2fc,2023-12-18,Comm._Partner_Registration,Jah39,Male,Male Youth,No disability,Jigawa,Jahun
713a569e-166e-466b-8cc2-09743678ba94,2023-12-18,Comm._Partner_Registration,Jah40,Male,Male Youth,No disability,Jigawa,Jahun
6b5f2760-6956-43f9-9891-a34266ee98ab,2023-12-18,Comm._Partner_Registration,Jah41,Male,Male Youth,No disability,Jigawa,Jahun
a16ff123-badb-4c8f-9f3d-31b70b4d8d33,2023-12-18,Comm._Partner_Registration,Jah42,Male,Male Youth,No disability,Jigawa,Jahun
85f113f6-885f-4c37-82ea-5cb51de9c05a,2023-12-18,Comm._Partner_Registration,Jah43,Male,Male Youth,No disability,Jigawa,Jahun
